latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
36.61661,-91.64876,299.52,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.4,0.89,N
36.6482,-91.92455,299.05,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,274.46,0.78,N
36.64758,-91.92001,304.26,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,277.25,0.78,N
36.64419,-91.92074,304.08,0.41,0.37,2026-03-01,0752,N20,nominal,2.0NRT,277.86,0.78,N
36.63725,-92.30219,297.09,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,279.74,0.81,N
36.6366,-92.29752,306.91,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,280.34,0.81,N
36.63319,-92.29828,301.02,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,278.56,0.81,N
36.63308,-92.42735,295.57,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.63,0.3,N
36.62965,-92.42807,303.47,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,282.82,0.72,N
36.58345,-92.45219,296.95,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,281.07,0.26,N
36.57225,-92.36828,302.99,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.26,0.91,N
36.57163,-92.36362,308.37,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.63,0.78,N
36.56821,-92.36436,301.04,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.01,0.78,N
36.56925,-92.36668,315.31,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,283.43,1.16,N
36.42588,-91.37655,299.01,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,280.94,0.87,N
36.52085,-92.29584,312.97,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,280.83,1.68,N
36.31287,-91.32294,314.06,0.39,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.03,1.57,N
36.54929,-93.07729,303.53,0.44,0.38,2026-03-01,0752,N20,nominal,2.0NRT,277.3,1.15,N
36.54705,-93.08773,295.09,0.44,0.38,2026-03-01,0752,N20,nominal,2.0NRT,273.48,0.75,N
36.54353,-93.0884,296.75,0.44,0.38,2026-03-01,0752,N20,nominal,2.0NRT,273.58,1.31,N
36.5381,-93.07442,312.14,0.44,0.38,2026-03-01,0752,N20,nominal,2.0NRT,279.57,2.45,N
36.72135,-94.67627,295.91,0.51,0.41,2026-03-01,0752,N20,nominal,2.0NRT,277.74,0.56,N
36.2126,-91.13006,295.9,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,281.61,0.3,N
35.94065,-89.7139,299.89,0.38,0.36,2026-03-01,0752,N20,nominal,2.0NRT,278.94,0.64,N
36.78027,-96.14963,295.12,0.4,0.44,2026-03-01,0752,N20,nominal,2.0NRT,278.19,0.73,N
36.77619,-96.1503,303.96,0.4,0.44,2026-03-01,0752,N20,nominal,2.0NRT,278.15,0.73,N
36.1458,-91.37107,328.27,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,284.3,2.93,N
36.14247,-91.37183,331.16,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,285.47,2.53,N
36.13915,-91.37259,317.17,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,283.64,2.53,N
36.13042,-91.38354,297.63,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,282.2,0.7,N
36.12916,-91.37481,304.31,0.4,0.37,2026-03-01,0752,N20,nominal,2.0NRT,282.7,1.01,N
36.24189,-92.47932,310.84,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,280.47,1.48,N
36.23847,-92.48006,306.94,0.42,0.38,2026-03-01,0752,N20,nominal,2.0NRT,280.27,0.94,N
36.20349,-92.43015,296.4,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.48,0.89,N
36.1954,-92.42236,297.31,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.81,0.42,N
36.00268,-91.27544,304.67,0.39,0.36,2026-03-01,0752,N20,nominal,2.0NRT,281.14,0.86,N
36.16368,-92.44794,295.12,0.42,0.37,2026-03-01,0752,N20,nominal,2.0NRT,281.92,0.7,N
